adm_cd2,adm_nm,signgu_cd,signgu_nm,area_km2,pop_total,pop_male,pop_female,pop_under20,pop_20s,pop_30s,pop_40s,pop_50s,pop_60plus,sex_ratio,ratio_2030,ratio_4050,ratio_60plus,total_stores,avg_dist_to_subway_m,ratio_stores_in_subway_zone,avg_dist_to_parking_m,avg_parking_capacity_300m,category_entropy,category_hhi,top_industry_lcls,top_industry_mcls,stores_과학·기술,stores_교육,stores_보건의료,stores_부동산,stores_소매,stores_수리·개인,stores_숙박,stores_시설관리·임대,stores_예술·스포츠,stores_음식,dong_station_count,dong_daily_ridership,dong_station_names,dong_parking_lot_count,dong_total_parking_capacity,pop_density,store_density_km2,stores_per_1000_pop,parking_capacity_per_store,parking_capacity_per_1000_pop
2720057100,대구광역시 남구 대명2동,27200,남구,0.8755,15229,7211,8018,1817,2505,2850,1932,2161,3964,89.94,0.3516,0.2688,0.2603,799,253.3,0.9862,89.3,331.0,1.8046,0.2151,음식,한식,87,43,7,33,184,97,13,38,11,286,1,7568.7,교대,20,780,17394.6,912.6,52.47,0.98,51.22
2720058600,대구광역시 남구 대명3동,27200,남구,0.9315,12166,5907,6259,971,1627,1922,1356,1927,4363,94.38,0.2917,0.2699,0.3586,944,415.9,0.7119,92.7,338.9,1.8061,0.2111,음식,한식,120,35,5,36,218,112,7,45,38,328,1,5897.8,현충로,20,1055,13060.7,1013.4,77.59,1.12,86.72
2720059000,대구광역시 남구 대명4동,27200,남구,0.76,9003,4249,4754,623,1055,825,896,1490,4114,89.38,0.2088,0.265,0.457,635,536.5,0.3512,93.6,496.8,1.7378,0.2232,음식,한식,64,6,6,17,190,99,9,25,23,196,1,7282.1,안지랑,20,1742,11846.1,835.5,70.53,2.74,193.49
2720060000,대구광역시 남구 대명5동,27200,남구,0.74,8896,4209,4687,1060,1541,1483,1082,1443,2287,89.8,0.3399,0.2838,0.2571,607,256.8,0.8666,71.6,557.7,1.8206,0.2171,음식,한식,63,27,8,22,123,80,8,28,20,228,1,11071.1,영대병원,20,2694,12021.6,820.3,68.23,4.44,302.83
2720061000,대구광역시 남구 대명6동,27200,남구,1.5709,10276,4913,5363,1016,1178,1370,1329,1783,3600,91.61,0.248,0.3028,0.3503,560,385.9,0.675,135.0,329.3,1.9196,0.1736,소매,이용·미용,93,32,10,35,137,87,5,25,8,128,0,0.0,없음,13,857,6541.5,356.5,54.5,1.53,83.4
2720064000,대구광역시 남구 대명9동,27200,남구,3.1401,13110,6343,6767,992,1587,1617,1619,2323,4972,93.73,0.2444,0.3007,0.3793,785,817.3,0.0038,116.3,184.2,1.8211,0.2046,음식,한식,111,32,2,21,173,104,16,40,23,263,0,0.0,없음,28,762,4175.0,250.0,59.88,0.97,58.12
2720065000,대구광역시 남구 대명10동,27200,남구,0.5166,7805,3625,4180,449,907,886,838,1247,3478,86.72,0.2297,0.2671,0.4456,650,375.5,0.8677,82.5,574.8,1.8044,0.2044,음식,한식,96,11,7,18,122,126,8,29,22,211,1,15387.0,서부정류장,12,444,15108.4,1258.2,83.28,0.68,56.89
2720066000,대구광역시 남구 대명11동,27200,남구,0.8477,7152,3330,3822,415,597,741,754,1173,3472,87.13,0.1871,0.2694,0.4855,614,687.2,0.0537,116.7,454.2,1.5689,0.285,소매,섬유·의복·신발 소매,58,11,9,8,275,68,3,18,12,152,0,0.0,없음,19,711,8436.9,724.3,85.85,1.16,99.41
2723051000,대구광역시 북구 고성동,27230,북구,0.52,14603,7217,7386,3323,1100,3875,2674,1562,2069,97.71,0.3407,0.2901,0.1417,502,502.8,0.4641,136.9,698.5,1.5975,0.2982,음식,한식,24,25,0,24,76,60,3,9,30,251,0,0.0,없음,9,694,28082.7,965.4,34.38,1.38,47.52
2723052600,대구광역시 북구 칠성동,27230,북구,1.3907,23657,11254,12403,3916,2586,3678,3800,3782,5895,90.74,0.2648,0.3205,0.2492,1349,435.4,0.6308,88.6,877.9,1.5237,0.3075,소매,섬유·의복·신발 소매,70,58,5,26,637,115,9,27,43,359,2,23713.1,"대구역, 칠성시장",51,4486,17010.9,970.0,57.02,3.33,189.63
2723055000,대구광역시 북구 침산1동,27230,북구,1.4697,3441,1834,1607,239,257,312,345,583,1705,114.13,0.1654,0.2697,0.4955,196,1796.3,0.0,157.8,93.6,1.733,0.2231,소매,한식,15,5,2,10,65,31,0,10,4,54,0,0.0,없음,6,115,2341.3,133.4,56.96,0.59,33.42
