adm_cd2,indsLclsCd,indsLclsNm,store_count,avg_nearest_subway_dist_m,ratio_subway_zone,avg_parking_capacity_300m,avg_competitor_lcls_300m,avg_competitor_mcls_300m,adm_nm,signgu_cd,signgu_nm,area_km2,pop_total,pop_density,sex_ratio,ratio_2030,ratio_4050,ratio_60plus,total_stores,dong_station_count,dong_daily_ridership,dong_parking_lot_count,dong_total_parking_capacity,store_share_in_dong,store_share_in_city,location_quotient,store_density_km2,stores_per_1000_pop
2711058500,N1,시설관리·임대,22,388.8,0.9091,501.6,17.6,4.3,대구광역시 중구 성내3동,27110,중구,0.7455,13643,18300.5,98.82,0.3315,0.2835,0.1496,444,1,5778.9,12,259,0.0495,0.0051,1.348,29.51,1.61
2711058500,P1,교육,28,323.8,1.0,183.5,11.2,5.2,대구광역시 중구 성내3동,27110,중구,0.7455,13643,18300.5,98.82,0.3315,0.2835,0.1496,444,1,5778.9,12,259,0.0631,0.004,1.066,37.56,2.05
2711058500,Q1,보건의료,7,379.0,1.0,429.6,3.0,1.3,대구광역시 중구 성내3동,27110,중구,0.7455,13643,18300.5,98.82,0.3315,0.2835,0.1496,444,1,5778.9,12,259,0.0158,0.0046,1.22,9.39,0.51
2711058500,R1,예술·스포츠,7,343.6,1.0,205.1,3.1,1.7,대구광역시 중구 성내3동,27110,중구,0.7455,13643,18300.5,98.82,0.3315,0.2835,0.1496,444,1,5778.9,12,259,0.0158,0.0014,0.366,9.39,0.51
2711058500,S2,수리·개인,64,348.0,0.9531,221.6,32.6,7.9,대구광역시 중구 성내3동,27110,중구,0.7455,13643,18300.5,98.82,0.3315,0.2835,0.1496,444,1,5778.9,12,259,0.1441,0.0039,1.041,85.85,4.69
2711059500,G2,소매,2285,148.3,0.9882,1646.4,2169.9,1653.8,대구광역시 중구 대신동,27110,중구,0.4899,7249,14796.9,93.05,0.2356,0.3038,0.3053,2688,1,13433.4,11,1301,0.8501,0.0749,3.297,4664.22,315.22
2711059500,I1,숙박,7,320.0,1.0,312.0,9.3,9.3,대구광역시 중구 대신동,27110,중구,0.4899,7249,14796.9,93.05,0.2356,0.3038,0.3053,2688,1,13433.4,11,1301,0.0026,0.006,0.265,14.29,0.97
2711059500,I2,음식,236,262.4,0.911,1180.4,155.7,46.2,대구광역시 중구 대신동,27110,중구,0.4899,7249,14796.9,93.05,0.2356,0.3038,0.3053,2688,1,13433.4,11,1301,0.0878,0.0062,0.274,481.73,32.56
2711059500,L1,부동산,18,365.7,0.7778,755.7,10.8,10.8,대구광역시 중구 대신동,27110,중구,0.4899,7249,14796.9,93.05,0.2356,0.3038,0.3053,2688,1,13433.4,11,1301,0.0067,0.0043,0.19,36.74,2.48
2711059500,M1,과학·기술,16,309.5,0.875,799.4,13.3,1.8,대구광역시 중구 대신동,27110,중구,0.4899,7249,14796.9,93.05,0.2356,0.3038,0.3053,2688,1,13433.4,11,1301,0.006,0.0016,0.069,32.66,2.21
2711059500,N1,시설관리·임대,7,260.6,1.0,1105.3,6.3,0.9,대구광역시 중구 대신동,27110,중구,0.4899,7249,14796.9,93.05,0.2356,0.3038,0.3053,2688,1,13433.4,11,1301,0.0026,0.0016,0.071,14.29,0.97
2711059500,P1,교육,18,462.6,0.3889,244.7,17.6,8.4,대구광역시 중구 대신동,27110,중구,0.4899,7249,14796.9,93.05,0.2356,0.3038,0.3053,2688,1,13433.4,11,1301,0.0067,0.0026,0.113,36.74,2.48
2711059500,Q1,보건의료,10,187.8,1.0,1236.1,11.2,9.0,대구광역시 중구 대신동,27110,중구,0.4899,7249,14796.9,93.05,0.2356,0.3038,0.3053,2688,1,13433.4,11,1301,0.0037,0.0065,0.288,20.41,1.38
2711059500,R1,예술·스포츠,8,453.3,0.75,271.1,5.9,2.6,대구광역시 중구 대신동,27110,중구,0.4899,7249,14796.9,93.05,0.2356,0.3038,0.3053,2688,1,13433.4,11,1301,0.003,0.0016,0.069,16.33,1.1
2711059500,S2,수리·개인,83,318.0,0.8313,801.5,51.7,24.5,대구광역시 중구 대신동,27110,중구,0.4899,7249,14796.9,93.05,0.2356,0.3038,0.3053,2688,1,13433.4,11,1301,0.0309,0.0051,0.223,169.42,11.45
2711064000,G2,소매,142,263.7,1.0,806.1,162.7,20.8,대구광역시 중구 남산1동,27110,중구,0.4193,5062,12072.5,88.32,0.3163,0.288,0.2659,680,2,12121.7,25,1968,0.2088,0.0047,0.81,338.66,28.05
2711064000,I1,숙박,29,272.0,1.0,792.5,26.2,25.4,대구광역시 중구 남산1동,27110,중구,0.4193,5062,12072.5,88.32,0.3163,0.288,0.2659,680,2,12121.7,25,1968,0.0426,0.025,4.348,69.16,5.73
2711064000,I2,음식,143,278.0,1.0,855.6,129.1,33.0,대구광역시 중구 남산1동,27110,중구,0.4193,5062,12072.5,88.32,0.3163,0.288,0.2659,680,2,12121.7,25,1968,0.2103,0.0038,0.655,341.04,28.25
2711064000,L1,부동산,21,325.0,1.0,609.5,17.8,17.8,대구광역시 중구 남산1동,27110,중구,0.4193,5062,12072.5,88.32,0.3163,0.288,0.2659,680,2,12121.7,25,1968,0.0309,0.005,0.877,50.08,4.15
2711064000,M1,과학·기술,118,247.4,1.0,573.1,86.7,17.4,대구광역시 중구 남산1동,27110,중구,0.4193,5062,12072.5,88.32,0.3163,0.288,0.2659,680,2,12121.7,25,1968,0.1735,0.0116,2.019,281.42,23.31
2711064000,N1,시설관리·임대,45,232.6,1.0,468.1,27.4,4.0,대구광역시 중구 남산1동,27110,중구,0.4193,5062,12072.5,88.32,0.3163,0.288,0.2659,680,2,12121.7,25,1968,0.0662,0.0103,1.801,107.32,8.89
2711064000,P1,교육,60,187.1,1.0,439.8,47.5,33.0,대구광역시 중구 남산1동,27110,중구,0.4193,5062,12072.5,88.32,0.3163,0.288,0.2659,680,2,12121.7,25,1968,0.0882,0.0086,1.492,143.1,11.85
2711064000,Q1,보건의료,9,184.2,1.0,1794.8,36.3,34.3,대구광역시 중구 남산1동,27110,중구,0.4193,5062,12072.5,88.32,0.3163,0.288,0.2659,680,2,12121.7,25,1968,0.0132,0.0059,1.024,21.46,1.78
2711064000,R1,예술·스포츠,14,259.4,1.0,559.1,8.1,3.6,대구광역시 중구 남산1동,27110,중구,0.4193,5062,12072.5,88.32,0.3163,0.288,0.2659,680,2,12121.7,25,1968,0.0206,0.0027,0.477,33.39,2.77
2711064000,S2,수리·개인,99,242.1,1.0,743.3,77.5,46.2,대구광역시 중구 남산1동,27110,중구,0.4193,5062,12072.5,88.32,0.3163,0.288,0.2659,680,2,12121.7,25,1968,0.1456,0.006,1.052,236.11,19.56
2711065000,G2,소매,92,249.3,1.0,1510.5,277.1,37.7,대구광역시 중구 남산2동,27110,중구,0.3916,7394,18881.5,88.05,0.2992,0.2939,0.2275,593,4,82629.0,11,863,0.1551,0.003,0.602,234.93,12.44
