rank,adm_nm,signgu_nm,adm_cd2,total_score,demand_score,target_fit_score,competition_score,accessibility_score,parking_score,industry_fit_score,cat_store_count,pop_total,target_pop,target_ratio,location_quotient,dong_daily_ridership,cat_avg_subway_dist,cat_avg_comp_300m,dong_total_parking_capacity,parking_capacity_per_store,signgu_cd,area_km2,pop_density,total_stores,store_density_km2,avg_dist_to_subway_m,ratio_stores_in_subway_zone,dong_station_count,dong_parking_lot_count,avg_parking_capacity_300m,category_entropy,cat_ratio_subway,cat_avg_parking_300m,store_share_in_dong,pop_per_store,target_pop_per_store,query_industry,query_target_age,industry_label,target_demographic_label,category_type
29,대구광역시 북구 복현2동,북구,2723067200,62.83,63.59,83.96,76.34,22.02,56.31,65.77,32,28733,7367,0.2564,1.058,0.0,1575.8,10.4,1348,2.08,27230,1.8078,15893.9,649,359.0,1620.2,0.0,0,39,355.2,1.8941,0.0,342.2,0.0493,870.7,223.2,카페,2030,카페 (비알코올 음료점),2030 청년 소비층 (20~39세),중분류 (비알코올)
30,대구광역시 동구 신천3동,동구,2714057000,62.0,58.62,79.2,39.94,49.67,82.85,68.46,39,14835,4046,0.2727,1.086,0.0,579.8,14.5,1998,2.59,27140,0.7179,20664.4,770,1072.6,542.0,0.4195,0,48,1228.0,1.9695,0.3077,1387.8,0.0506,370.9,101.2,카페,2030,카페 (비알코올 음료점),2030 청년 소비층 (20~39세),중분류 (비알코올)
31,대구광역시 서구 내당1동,서구,2717051000,61.94,54.63,75.44,64.26,53.28,74.63,53.69,21,14683,3917,0.2668,0.979,0.0,550.1,13.1,1153,2.5,27170,0.5707,25728.1,461,807.8,613.4,0.3362,0,27,826.7,1.842,0.4286,965.2,0.0456,667.4,178.0,카페,2030,카페 (비알코올 음료점),2030 청년 소비층 (20~39세),중분류 (비알코올)
32,대구광역시 수성구 범어2동,수성구,2726052000,61.92,69.03,73.29,26.51,77.12,82.58,27.52,42,15345,3938,0.2566,0.824,10699.6,395.7,22.0,2861,2.62,27260,1.0094,15202.1,1094,1083.8,482.8,0.5384,1,42,1064.7,1.8705,0.7143,1013.7,0.0384,356.9,91.6,카페,2030,카페 (비알코올 음료점),2030 청년 소비층 (20~39세),중분류 (비알코올)
33,대구광역시 중구 남산4동,중구,2711067000,61.85,57.58,67.65,53.02,70.4,38.79,86.58,25,15842,3799,0.2398,1.331,0.0,369.9,14.8,481,1.19,27110,0.449,35282.9,403,897.6,351.8,0.8164,0,16,308.4,1.9455,0.76,282.3,0.062,609.3,146.1,카페,2030,카페 (비알코올 음료점),2030 청년 소비층 (20~39세),중분류 (비알코올)
34,대구광역시 중구 성내1동,중구,2711056500,61.73,52.62,75.84,1.0,87.12,82.92,92.62,243,5527,2770,0.5012,1.531,30098.1,350.5,80.4,4750,1.39,27110,0.759,7281.9,3406,4487.5,324.3,0.8908,1,64,2242.4,1.7374,0.823,2456.2,0.0713,22.7,11.4,카페,2030,카페 (비알코올 음료점),2030 청년 소비층 (20~39세),중분류 (비알코올)
35,대구광역시 수성구 범어3동,수성구,2726053000,61.16,71.34,70.87,17.78,57.58,79.4,63.42,56,17016,4089,0.2403,1.041,0.0,513.4,27.3,2389,2.07,27260,0.5836,29157.0,1155,1979.1,503.0,0.4978,0,39,1299.8,1.8564,0.5357,1107.8,0.0485,298.5,71.7,카페,2030,카페 (비알코올 음료점),2030 청년 소비층 (20~39세),중분류 (비알코올)
36,대구광역시 중구 남산2동,중구,2711065000,60.59,55.0,65.77,14.94,93.96,72.82,73.15,31,7394,2212,0.2992,1.123,82629.0,299.0,36.6,863,1.46,27110,0.3916,18881.5,593,1514.3,289.0,1.0,4,11,1474.2,1.9141,1.0,1765.8,0.0523,231.1,69.1,카페,2030,카페 (비알코올 음료점),2030 청년 소비층 (20~39세),중분류 (비알코올)
37,대구광역시 수성구 두산동,수성구,2726064000,60.04,62.89,76.91,20.8,61.55,79.4,55.03,72,14840,3993,0.2691,0.992,4499.5,538.9,15.3,3584,2.3,27260,1.8605,7976.4,1558,837.4,524.0,0.4589,1,72,732.3,1.7103,0.4444,780.9,0.0462,203.3,54.7,카페,2030,카페 (비알코올 음료점),2030 청년 소비층 (20~39세),중분류 (비알코올)
38,대구광역시 중구 성내2동,중구,2711057500,59.72,47.95,82.55,3.02,77.25,91.38,76.51,140,9263,3674,0.3966,1.144,0.0,309.0,55.4,6799,2.59,27110,0.9226,10040.1,2628,2848.5,283.2,0.933,0,67,2751.4,1.6254,0.9214,2567.2,0.0533,65.7,26.1,카페,2030,카페 (비알코올 음료점),2030 청년 소비층 (20~39세),중분류 (비알코올)
39,대구광역시 달서구 월성1동,달서구,2729060100,59.57,80.54,54.29,32.55,34.83,87.72,56.71,67,39423,7527,0.1909,1.0,0.0,990.4,25.4,4066,2.83,27290,1.9323,20402.1,1438,744.2,899.2,0.096,0,70,1080.4,1.8341,0.0597,1184.5,0.0466,579.8,110.7,카페,2030,카페 (비알코올 음료점),2030 청년 소비층 (20~39세),중분류 (비알코올)
40,대구광역시 동구 안심2동,동구,2714073000,58.8,44.03,76.77,95.64,41.81,48.52,47.65,17,17002,4394,0.2584,0.925,3810.8,1202.6,2.2,1493,3.79,27140,13.3309,1275.4,394,29.6,844.7,0.3046,1,43,159.2,1.8547,0.2353,161.2,0.0431,944.6,244.1,카페,2030,카페 (비알코올 음료점),2030 청년 소비층 (20~39세),중분류 (비알코올)
