년월,정류소명,승차,하차
2016-01-01,국립대구과학관정문앞,97,21
2016-01-01,국립대구과학관후문건너,3,312
2016-01-01,국립대구과학관후문앞,884,5
2016-01-01,국립대구박물관건너,9524,1004
2016-01-01,국립대구박물관앞,6244,2368
2016-01-01,국민건강보험공단건너,20242,1926
2016-01-01,국민건강보험공단앞,9403,6945
2016-01-01,국민은행3공단지점건너,3569,702
2016-01-01,국민은행3공단지점앞,2679,555
2016-01-01,국우동현대아파트건너,89,43
2016-01-01,국우동현대아파트앞,3529,511
2016-01-01,국채보상운동기념공원,4593,3695
2016-01-01,굿모닝병원건너,8324,4032
2016-01-01,굿모닝병원앞,13561,3056
2016-01-01,궁전아파트건너,578,298
2016-01-01,궁전아파트앞,2096,415
2016-01-01,귀남지휴게소1,24,19
2016-01-01,그랜드호텔건너,29263,12316
2016-01-01,그랜드호텔앞,34605,7317
2016-01-01,그린빌4단지,61,545
2016-01-01,그린빌4단지건너,634,27
2016-01-01,그린빌4단지앞,164,83
2016-01-01,근로복지공단대구병원건너,248,371
2016-01-01,근로복지공단대구병원앞,3987,421
2016-01-01,금강동,132,16
2016-01-01,금계초등학교(교항리),242,129
2016-01-01,금복주건너,2725,310
2016-01-01,금복주앞,1939,540
2016-01-01,금봉네거리1,7570,744
2016-01-01,금봉네거리2,3451,530
2016-01-01,금사리하이빌APT건너,1231,103
2016-01-01,금사리하이빌APT앞,432,146
2016-01-01,금융감독원건너,616,1393
2016-01-01,금포초등학교,1083,173
2016-01-01,금포초등학교건너,397,265
2016-01-01,금호1,3,80
2016-01-01,금호2,195,16
2016-01-01,금호기전,113,29
2016-01-01,금호서한이다음아파트건너,37,74
2016-01-01,금호서한이다음아파트앞,244,14
2016-01-01,금호지구종점(시내방향),34,4
2016-01-01,금호지구종점(종점방향),139,16
2016-01-01,금호천년나무1단지건너,53,55
2016-01-01,금호천년나무1단지동편,2522,45
2016-01-01,금호천년나무1단지동편건너,51,337
2016-01-01,금호천년나무1단지앞,315,22
2016-01-01,금호화물자동차공영차고지,61,13
2016-01-01,기곡(종점),129,1
2016-01-01,기곡리1,11,4
2016-01-01,기곡리2,22,0
2016-01-01,기독교방송국건너,4778,1783
2016-01-01,기독교방송국앞,3197,1084
2016-01-01,기업은행대곡지점건너,87,1134
2016-01-01,기업은행대곡지점앞,20022,400
2016-01-01,기업은행죽전동지점건너,5033,1044
2016-01-01,기업은행죽전동지점앞,2056,523
2016-01-01,김흥1리건너,58,1
2016-01-01,김흥1리앞,14,10
2016-01-01,김흥2리앞,2,0
2016-01-01,김흥리마을입구,90,0
2016-01-01,남구청건너1,922,64
2016-01-01,남구청건너2,5434,5501
2016-01-01,남구청네거리1,5598,1779
2016-01-01,남구청네거리2,443,274
2016-01-01,남구청앞,143,425
2016-01-01,남대구IC1,14839,950
2016-01-01,남대구IC2,5832,703
2016-01-01,남도버스1,98,18
2016-01-01,남도버스2,371,114
2016-01-01,남명삼거리1,1282,119
2016-01-01,남명삼거리2,946,251
2016-01-01,남문시장건너1,133,13
2016-01-01,남문시장건너2,9006,14215
2016-01-01,남문시장앞,17984,10605
2016-01-01,남문아파트앞,32,44
2016-01-01,남부경찰서건너,6270,1823
2016-01-01,남부경찰서앞,8150,4820
2016-01-01,남부교육지원청건너,5831,746
2016-01-01,남부교육지원청앞,3736,1297
2016-01-01,남부도서관앞,335,435
2016-01-01,남부자동차종합시장건너,3049,603
2016-01-01,남부자동차종합시장앞,1032,323
2016-01-01,남부초등학교건너,1045,20
2016-01-01,남부초등학교앞,287,185
2016-01-01,남부초등학교앞2,3102,603
2016-01-01,남산2동주민센터건너,32,21
2016-01-01,남산2동주민센터앞,164,21
2016-01-01,남산고등학교건너,451,54
2016-01-01,남산고등학교앞,274,102
2016-01-01,남산역(프린스호텔건너),8906,2025
2016-01-01,남산역건너(프린스호텔앞),13655,5869
2016-01-01,남산주유소건너,1785,1117
2016-01-01,남산주유소앞,2251,230
2016-01-01,남산초등학교건너,10315,1210
2016-01-01,남산초등학교앞,8292,5506
2016-01-01,내2리새마을회관건너,43,0
2016-01-01,내2리새마을회관앞,9,2
2016-01-01,내당1동우체국건너,1735,284
2016-01-01,내당1동우체국앞,2100,318
2016-01-01,내당광명아파트,2763,1730
2016-01-01,내당삼익맨션건너,23301,5634
2016-01-01,내당삼익맨션앞,11390,12670
2016-01-01,내당코오롱아파트건너,6245,10135
2016-01-01,내당코오롱아파트앞,4683,839
2016-01-01,내동,482,21
2016-01-01,내동건너,19,79
2016-01-01,내리1,1,0
2016-01-01,내리2,0,2
2016-01-01,내일교회건너,208,28
2016-01-01,내일교회앞,742,80
2016-01-01,냉천2리,52,26
2016-01-01,냉천리1,1728,46
2016-01-01,냉천리2,21,193
2016-01-01,노곡교1,5,92
2016-01-01,노곡교2,329,5
2016-01-01,노곡동,20740,4074
2016-01-01,노변중학교,763,60
2016-01-01,노변중학교건너,1415,100
2016-01-01,노변청구타운건너,153,66
2016-01-01,노변청구타운앞,211,23
2016-01-01,노원119안전센터건너,4221,3194
2016-01-01,노원119안전센터앞,1505,466
2016-01-01,노원네거리(공단세차장건너),418,290
2016-01-01,노원네거리(공단세차장앞),4264,102
2016-01-01,노원네거리(대구은행건너),674,137
2016-01-01,노원네거리(대구은행앞),4209,343
2016-01-01,노원네거리1,3515,684
2016-01-01,노원네거리2,6860,382
2016-01-01,노원동화타운건너,393,248
2016-01-01,노원동화타운앞,2128,849
2016-01-01,녹동서원건너,134,1
2016-01-01,녹동서원앞,3,3
2016-01-01,녹원맨션1,2737,713
2016-01-01,녹원맨션2,6080,559
2016-01-01,논공삼거리1,945,15
2016-01-01,논공삼거리2,310,284
2016-01-01,논공읍사무소,991,162
2016-01-01,논공읍사무소건너1,2698,165
2016-01-01,논공읍사무소건너2,109,89
2016-01-01,농산물도매시장건너,43,7
2016-01-01,농산물도매시장앞,1567,197
2016-01-01,농수산물도매시장건너,1855,516
2016-01-01,농수산물도매시장앞,4719,3511
2016-01-01,농촌진흥원입구,21,29
2016-01-01,농협동촌지점,402,123
2016-01-01,농협방촌지점,1442,81
